LdSpp,eco_boundary,AIDBSPP,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Red alder,Taiga Shield West,Red alder,0,0.0077,2.2201,14.6778,37.7401,66.5101,97.0385,127.0946,155.6017,182.1257,206.5649,228.9809,249.5082,268.3083,285.5461,301.3789,315.9512,329.393,341.8207,353.3371,364.0333
Yellow birch,Taiga Shield West,Yellow birch,0,0.0077,2.2201,14.6778,37.7401,66.5101,97.0385,127.0946,155.6017,182.1257,206.5649,228.9809,249.5082,268.3083,285.5461,301.3789,315.9512,329.393,341.8207,353.3371,364.0333
White birch,Taiga Shield West,White birch,0,0.0038,1.6467,12.4455,34.215,62.7681,94.0635,125.5764,155.9637,184.5968,211.2442,235.8838,258.5984,279.5186,298.7922,316.5678,332.9867,348.1798,362.2658,375.3514,387.5321
Cedar,Taiga Shield West,Cedar,0,0.0,0.0,0.0,0.0005,0.0066,0.037,0.1271,0.3208,0.6592,1.1726,1.8786,2.7822,3.879,5.1573,6.6014,8.193,9.9133,11.7435,13.6656,15.6631
Black ash,Taiga Shield West,Black ash,0,0.0077,2.2201,14.6778,37.7401,66.5101,97.0385,127.0946,155.6017,182.1257,206.5649,228.9809,249.5082,268.3083,285.5461,301.3789,315.9512,329.393,341.8207,353.3371,364.0333
Tamarack,Taiga Shield West,Tamarack,0,0.0077,2.2201,14.6778,37.7401,66.5101,97.0385,127.0946,155.6017,182.1257,206.5649,228.9809,249.5082,268.3083,285.5461,301.3789,315.9512,329.393,341.8207,353.3371,364.0333
Western larch,Taiga Shield West,Western larch,0,0.0077,2.2201,14.6778,37.7401,66.5101,97.0385,127.0946,155.6017,182.1257,206.5649,228.9809,249.5082,268.3083,285.5461,301.3789,315.9512,329.393,341.8207,353.3371,364.0333
Norway spruce,Taiga Shield West,Norway spruce,0,0.0001,0.2118,2.4088,8.1241,16.8487,27.4006,38.7805,50.3214,61.624,72.4682,82.7457,92.4154,101.4748,109.9437,117.8531,125.2391,132.1397,138.5922,144.632,150.2926
Engelmann spruce,Taiga Shield West,Engelmann spruce,0,0.0001,0.2118,2.4088,8.1241,16.8487,27.4006,38.7805,50.3214,61.624,72.4682,82.7457,92.4154,101.4748,109.9437,117.8531,125.2391,132.1397,138.5922,144.632,150.2926
White spruce,Taiga Shield West,White spruce,0,0.0001,0.2118,2.4088,8.1241,16.8487,27.4006,38.7805,50.3214,61.624,72.4682,82.7457,92.4154,101.4748,109.9437,117.8531,125.2391,132.1397,138.5922,144.632,150.2926
Black spruce,Taiga Shield West,Black spruce,0,0.0001,0.2118,2.4088,8.1241,16.8487,27.4006,38.7805,50.3214,61.624,72.4682,82.7457,92.4154,101.4748,109.9437,117.8531,125.2391,132.1397,138.5922,144.632,150.2926
Red spruce,Taiga Shield West,Red spruce,0,0.0001,0.2118,2.4088,8.1241,16.8487,27.4006,38.7805,50.3214,61.624,72.4682,82.7457,92.4154,101.4748,109.9437,117.8531,125.2391,132.1397,138.5922,144.632,150.2926
Sitka spruce,Taiga Shield West,Sitka spruce,0,0.0001,0.2118,2.4088,8.1241,16.8487,27.4006,38.7805,50.3214,61.624,72.4682,82.7457,92.4154,101.4748,109.9437,117.8531,125.2391,132.1397,138.5922,144.632,150.2926
Whitebark pine,Taiga Shield West,Whitebark pine,0,0.0,0.0901,1.3032,4.9565,11.0477,18.851,27.6117,36.763,45.9308,54.8855,63.4962,71.695,79.4541,86.7697,93.6526,100.1216,106.1996,111.9113,117.2817,122.3351
Jack pine,Taiga Shield West,Jack pine,0,0.0,0.0901,1.3032,4.9565,11.0477,18.851,27.6117,36.763,45.9308,54.8855,63.4962,71.695,79.4541,86.7697,93.6526,100.1216,106.1996,111.9113,117.2817,122.3351
Lodgepole pine,Taiga Shield West,Lodgepole pine,0,0.0,0.0901,1.3032,4.9565,11.0477,18.851,27.6117,36.763,45.9308,54.8855,63.4962,71.695,79.4541,86.7697,93.6526,100.1216,106.1996,111.9113,117.2817,122.3351
Ponderosa pine,Taiga Shield West,Ponderosa pine,0,0.0,0.0901,1.3032,4.9565,11.0477,18.851,27.6117,36.763,45.9308,54.8855,63.4962,71.695,79.4541,86.7697,93.6526,100.1216,106.1996,111.9113,117.2817,122.3351
Red pine,Taiga Shield West,Red pine,0,0.0,0.0901,1.3032,4.9565,11.0477,18.851,27.6117,36.763,45.9308,54.8855,63.4962,71.695,79.4541,86.7697,93.6526,100.1216,106.1996,111.9113,117.2817,122.3351
Eastern white pine,Taiga Shield West,Eastern white pine,0,0.0,0.0901,1.3032,4.9565,11.0477,18.851,27.6117,36.763,45.9308,54.8855,63.4962,71.695,79.4541,86.7697,93.6526,100.1216,106.1996,111.9113,117.2817,122.3351
Balsam poplar,Taiga Shield West,Balsam poplar,0,0.0038,1.6467,12.4455,34.215,62.7681,94.0635,125.5764,155.9637,184.5968,211.2442,235.8838,258.5984,279.5186,298.7922,316.5678,332.9867,348.1798,362.2658,375.3514,387.5321
Largetooth aspen,Taiga Shield West,Largetooth aspen,0,0.0038,1.6467,12.4455,34.215,62.7681,94.0635,125.5764,155.9637,184.5968,211.2442,235.8838,258.5984,279.5186,298.7922,316.5678,332.9867,348.1798,362.2658,375.3514,387.5321
Trembling aspen,Taiga Shield West,Trembling aspen,0,0.0038,1.6467,12.4455,34.215,62.7681,94.0635,125.5764,155.9637,184.5968,211.2442,235.8838,258.5984,279.5186,298.7922,316.5678,332.9867,348.1798,362.2658,375.3514,387.5321
